Runtime,Limit,Result,Time Taken (ms)
BUN,100,1060,1.20
NODE,100,1060,0.42
BUN,1000,76127,0.94
NODE,1000,76127,0.61
BUN,10000,5736396,8.46
NODE,10000,5736396,9.12
BUN,100000,454396537,52.14
NODE,100000,454396537,43.53
BUN,1000000,37550402023,2535.28
NODE,1000000,37550402023,2531.69
BUN,10000000,3203324994356,175833.55
NODE,10000000,3203324994356,178156.01
BUN,100000000,279209790387276,13522884.85
NODE,100000000,279209790387276,13475409.49
